id,bilendi_id,password,username,email,gruppe,link_platform,link_voting
,,1HA9gXqYBX1Q,tttest11,tttest1111@hhu.de,11,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qrsubjects/2024-00080/&user=tttest1111@hhu.de&pass=1HA9gXqYBX1Q,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-11&user=tttest1111@hhu.de&pass=1HA9gXqYBX1Q
,,sSxM1AYtNFAe,tttest12,tttest1212@hhu.de,12,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qrsubjects/2024-00079/&user=tttest1212@hhu.de&pass=sSxM1AYtNFAe,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-12&user=tttest1212@hhu.de&pass=sSxM1AYtNFAe
,,KCTpPHPXHHyy,tttest13,tttest1313@hhu.de,13,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/subjects/2024-00078/&user=tttest1313@hhu.de&pass=KCTpPHPXHHyy,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-13&user=tttest1313@hhu.de&pass=KCTpPHPXHHyy
,,mYULSGhfIzkV,tttest14,tttest1414@hhu.de,14,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/subjects/2024-00077/&user=tttest1414@hhu.de&pass=mYULSGhfIzkV,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-14&user=tttest1414@hhu.de&pass=mYULSGhfIzkV
,,FRyUA6r9lkSA,tttest15,tttest1515@hhu.de,15,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/subjects/2024-00076/&user=tttest1515@hhu.de&pass=FRyUA6r9lkSA,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-15&user=tttest1515@hhu.de&pass=FRyUA6r9lkSA
,,NxcciUEVNPyt,tttest16,tttest1616@hhu.de,16,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/ssubjects/2024-00097/&user=tttest1616@hhu.de&pass=NxcciUEVNPyt,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-16&user=tttest1616@hhu.de&pass=NxcciUEVNPyt
,,KbJqoZ0jS7zX,tttest17,tttest1717@hhu.de,17,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/ssubjects/2024-00098/&user=tttest1717@hhu.de&pass=KbJqoZ0jS7zX,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-17&user=tttest1717@hhu.de&pass=KbJqoZ0jS7zX
,,5EGy4wxN0oyS,tttest18,tttest1818@hhu.de,18,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/ssubjects/2024-00099/&user=tttest1818@hhu.de&pass=5EGy4wxN0oyS,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-18&user=tttest1818@hhu.de&pass=5EGy4wxN0oyS
,,u1IEZCEK9neQ,tttest19,tttest1919@hhu.de,19,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/srsubjects/2024-00100/&user=tttest1919@hhu.de&pass=u1IEZCEK9neQ,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-19&user=tttest1919@hhu.de&pass=u1IEZCEK9neQ
,,Dgaz9KBitJgQ,tttest20,tttest2020@hhu.de,20,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/srsubjects/2024-00101/&user=tttest2020@hhu.de&pass=Dgaz9KBitJgQ,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-20&user=tttest2020@hhu.de&pass=Dgaz9KBitJgQ
,,2dyvKTmzdD8X,tttest21,tttest2121@hhu.de,21,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/srsubjects/2024-00102/&user=tttest2121@hhu.de&pass=2dyvKTmzdD8X,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-21&user=tttest2121@hhu.de&pass=2dyvKTmzdD8X
,,2qpTRgJb6AKp,tttest22,tttest2222@hhu.de,22,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qsubjects/2024-00103/&user=tttest2222@hhu.de&pass=2qpTRgJb6AKp,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-22&user=tttest2222@hhu.de&pass=2qpTRgJb6AKp
,,kfK4g46MESBd,tttest23,tttest2323@hhu.de,23,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qsubjects/2024-00104/&user=tttest2323@hhu.de&pass=kfK4g46MESBd,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-23&user=tttest2323@hhu.de&pass=kfK4g46MESBd
,,UYqHaeSUoWUX,tttest24,tttest2424@hhu.de,24,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qsubjects/2024-00105/&user=tttest2424@hhu.de&pass=UYqHaeSUoWUX,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-24&user=tttest2424@hhu.de&pass=UYqHaeSUoWUX
,,Iah37kSLhotD,tttest25,tttest2525@hhu.de,25,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qrsubjects/2024-00106/&user=tttest2525@hhu.de&pass=Iah37kSLhotD,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-25&user=tttest2525@hhu.de&pass=Iah37kSLhotD
,,q4tVorSMGBZd,tttest26,tttest2626@hhu.de,26,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qrsubjects/2024-00107/&user=tttest2626@hhu.de&pass=q4tVorSMGBZd,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-26&user=tttest2626@hhu.de&pass=q4tVorSMGBZd
,,e3S2ybeahTbw,tttest27,tttest2727@hhu.de,27,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qrsubjects/2024-00108/&user=tttest2727@hhu.de&pass=e3S2ybeahTbw,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-27&user=tttest2727@hhu.de&pass=e3S2ybeahTbw
,,sCf6d2hMn1c9,tttest28,tttest2828@hhu.de,28,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/subjects/2024-00109/&user=tttest2828@hhu.de&pass=sCf6d2hMn1c9,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-28&user=tttest2828@hhu.de&pass=sCf6d2hMn1c9
,,ZVqEocC0WoMk,tttest29,tttest2929@hhu.de,29,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/subjects/2024-00110/&user=tttest2929@hhu.de&pass=ZVqEocC0WoMk,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-29&user=tttest2929@hhu.de&pass=ZVqEocC0WoMk
,,PJ3blaFnnfE1,tttest30,tttest3030@hhu.de,30,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/subjects/2024-00111/&user=tttest3030@hhu.de&pass=PJ3blaFnnfE1,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-30&user=tttest3030@hhu.de&pass=PJ3blaFnnfE1
